"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1837","Check displaying of empty courses list","LMS system","2026-09-14","passed","2026-09-14","Courses","Courses","",""
"","3260","Edit course","LMS system","2026-09-14","passed","2026-09-14","Courses","Courses","",""
"","3197","Create course","LMS system","2026-09-14","passed","2026-09-14","Courses","Courses","",""
"","1892","User login with wrong email or password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","1758","Check displaying of the dashboard page","LMS system","2026-09-14","passed","2026-09-14","Dashboard","Dashboard","",""
"","2197","Registration with correct email, username and password","LMS system","2026-09-14","passed","2026-09-14","Registration","Authentification","",""
"","1897","User login with wrong email or password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","2170","User login with wrong email or password","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","3773","User login with correct email and login","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
"","1672","Navigation from login page to registration page","LMS system","2026-09-14","passed","2026-09-14","Authorization","Authentification","",""
